id,company,title,season,season_inferred,seasons,program,remote,category,location,sponsorship,h1b_approvals,salary,skills,posted_at,posted_at_source,first_seen_at,url
ashby:n1:afe7deb5-9cfd-4926-bcb4-058d418592a6,N1,"Software Engineer Intern (Backend, Rust)",Not stated,True,,Internship,,Software,New York City,unknown,,,Rust; C++,2026-08-19T19:57:20.073+00:00,exact,2026-08-19T20:13:56Z,https://jobs.ashbyhq.com/n1/afe7deb5-9cfd-4926-bcb4-058d418592a6
greenhouse:detroitlions:4723291005,Detroit Lions,Quantitative Research Intern,Not stated,True,,Internship,,Quant,"Allen Park, MI 48101",unknown,,,Python,2026-08-19T12:42:06-04:00,exact,2026-08-19T16:58:58Z,https://job-boards.greenhouse.io/detroitlions/jobs/4723291005
greenhouse:generalmatter:5377118008,General Matter,Summer 2027 Internship - Software Engineering,Summer 2027,False,,Internship,,Software,"Los Angeles, CA",unknown,,$32–$46/hr,Python; C++; Linux,2026-08-19T18:16:14-04:00,exact,2026-08-19T22:52:54Z,https://job-boards.greenhouse.io/generalmatter/jobs/5377118008
smartrecruiters:InfiniteQuant:744000144281579,InfiniteQuant,Quantitative Developer - Internship - Summer 2027,Summer 2027,False,,Internship,yes,Quant,"New York, New York, United States (Remote)",unknown,,,Python; C++,2026-08-19T10:29:47.844Z,exact,2026-08-19T10:57:48Z,https://jobs.smartrecruiters.com/InfiniteQuant/744000144281579
workday:copart:/job/Dallas-TX---Headquarters/Site-Reliability-Engineer-Intern_JR110631,Copart,Site Reliability Engineer Intern,Not stated,True,,Internship,,Software,"Dallas, TX - Headquarters",unknown,83,,Python; AWS; GCP; Kubernetes; Linux,2026-08-19T00:00:00Z,date_only,2026-08-19T22:14:30Z,https://copart.wd12.myworkdayjobs.com/copart/job/Dallas-TX---Headquarters/Site-Reliability-Engineer-Intern_JR110631
workday:globalhr:/job/US-IA-CEDAR-RAPIDS-107--400-Collins-Rd-NE--BLDG-107/Software-Engineering-Intern--Summer-2027-_01868241,RTX,Software Engineering Intern (Summer 2027),Summer 2027,False,,Internship,,Software,US-IA-CEDAR RAPIDS-107 ~ 400 Collins Rd NE ~ BLDG 107,unknown,,,Python; C++; Git,2026-08-19T00:00:00Z,date_only,2026-08-19T14:12:49Z,https://globalhr.wd5.myworkdayjobs.com/Private_Posting_No_TMP/job/US-IA-CEDAR-RAPIDS-107--400-Collins-Rd-NE--BLDG-107/Software-Engineering-Intern--Summer-2027-_01868241
workday:moog:/job/Buffalo-NY/Intern--IT-Computer-Science_R-26-19378,Moog,"Intern, IT Computer Science",Fall 2026,False,,Internship,,Software,"Buffalo, NY",unknown,2,,SQL,2026-08-19T00:00:00Z,date_only,2026-08-19T17:52:54Z,https://moog.wd5.myworkdayjobs.com/moog_external_career_site/job/Buffalo-NY/Intern--IT-Computer-Science_R-26-19378
greenhouse:gardacp:6146213004,Garda Capital Partners,Software Engineer Intern,Not stated,True,,Internship,,Software,"New York, New York, United States",unknown,6,,Python; SQL,2026-08-18T16:01:53-04:00,exact,2026-08-18T20:51:25Z,https://job-boards.greenhouse.io/gardacp/jobs/6146213004
oracle:egug.fa.us2.oraclecloud.com:26011015,American Express,"Campus Undergraduate Summer Internship Program - 2027 Software Engineer, Enterprise Technology Services- Sunrise, FL",Summer 2027,False,,Internship,,Software,"Sunrise, FL, United States",unknown,133,,Python; Java; C#; Go; TypeScript; JavaScript; Swift; Kotlin,2026-08-18,date_only,2026-08-18T15:05:36Z,https://egug.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/26011015
oracle:ejhp.fa.us6.oraclecloud.com:2621017,Sherwin-Williams,Year-Round IT Database Engineer Co-Op,Not stated,True,,Co-op,,Software,"Cleveland, OH, United States",unknown,94,,,2026-08-18,date_only,2026-08-18T14:11:54Z,https://ejhp.fa.us6.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_2/job/2621017
